location_id,latitude,longitude,elevation,slope
977,17.245,78.58,547.0,0.431
985,17.245,78.62,557.0,0.277
993,17.245,78.66,512.0,1.437
1001,17.25,78.2,567.0,0.43
1009,17.25,78.24,555.0,0.371
1017,17.25,78.28,560.0,0.516
1025,17.25,78.32,567.0,0.386
1033,17.25,78.36,575.0,0.205
1041,17.25,78.4,575.0,0.621
1049,17.25,78.44,602.0,0.113
1057,17.25,78.48,587.0,0.037
1065,17.25,78.52,573.0,0.536
1073,17.25,78.56,551.0,0.41
1081,17.25,78.6,550.0,0.192
1089,17.25,78.64,542.0,0.577
1097,17.25,78.68,488.0,0.959
1105,17.255,78.22,558.0,0.191
1113,17.255,78.26,552.0,0.196
1121,17.255,78.3,550.0,0.304
1129,17.255,78.34,549.0,0.279
1137,17.255,78.38,558.0,0.279
1145,17.255,78.42,614.0,0.47
1153,17.255,78.46,598.0,0.285
1161,17.255,78.5,597.0,0.871
1169,17.255,78.54,558.0,0.345
1177,17.255,78.58,534.0,0.515
1185,17.255,78.62,541.0,0.84
1193,17.255,78.66,535.0,1.088
1201,17.26,78.2,581.0,0.774
1209,17.26,78.24,572.0,0.726
1217,17.26,78.28,545.0,0.268
1225,17.26,78.32,562.0,0.489
1233,17.26,78.36,570.0,0.657
1241,17.26,78.4,586.0,0.719
1249,17.26,78.44,608.0,0.254
1257,17.26,78.48,605.0,0.138
1265,17.26,78.52,567.0,0.698
1273,17.26,78.56,548.0,0.504
1281,17.26,78.6,547.0,0.185
1289,17.26,78.64,516.0,0.669
1297,17.26,78.68,469.0,1.331
1305,17.265,78.22,567.0,0.426
1313,17.265,78.26,560.0,0.63
1321,17.265,78.3,542.0,0.25
1329,17.265,78.34,545.0,0.085
1337,17.265,78.38,556.0,0.456
1345,17.265,78.42,605.0,0.862
1353,17.265,78.46,591.0,0.569
1361,17.265,78.5,575.0,0.792
1369,17.265,78.54,559.0,0.485
1377,17.265,78.58,527.0,0.31
1385,17.265,78.62,526.0,0.739
1393,17.265,78.66,479.0,1.08
1401,17.27,78.2,590.0,0.668
1409,17.27,78.24,583.0,0.443
1417,17.27,78.28,551.0,0.608
1425,17.27,78.32,548.0,0.573
1433,17.27,78.36,550.0,0.726
1441,17.27,78.4,580.0,0.433
1449,17.27,78.44,596.0,0.632
1457,17.27,78.48,590.0,0.731
1465,17.27,78.52,550.0,0.435
1473,17.27,78.56,538.0,0.619
1481,17.27,78.6,543.0,0.312
1489,17.27,78.64,520.0,0.399
1497,17.27,78.68,455.0,1.03
1505,17.275,78.22,574.0,0.677
1513,17.275,78.26,571.0,0.791
1521,17.275,78.3,541.0,0.228
1529,17.275,78.34,551.0,0.234
1537,17.275,78.38,571.0,0.452
1545,17.275,78.42,582.0,1.013
1553,17.275,78.46,576.0,0.726
1561,17.275,78.5,574.0,0.7
1569,17.275,78.54,541.0,0.391
1577,17.275,78.58,522.0,0.152
1585,17.275,78.62,516.0,0.319
1593,17.275,78.66,505.0,0.846
1601,17.28,78.2,597.0,0.461
1609,17.28,78.24,589.0,0.264
1617,17.28,78.28,565.0,0.515
1625,17.28,78.32,540.0,0.18
1633,17.28,78.36,543.0,0.311
1641,17.28,78.4,580.0,0.161
1649,17.28,78.44,584.0,0.493
1657,17.28,78.48,577.0,0.521
1665,17.28,78.52,556.0,0.363
1673,17.28,78.56,528.0,0.304
1681,17.28,78.6,535.0,0.569
1689,17.28,78.64,519.0,0.468
1697,17.28,78.68,479.0,0.669
1705,17.285,78.22,593.0,0.805
1713,17.285,78.26,587.0,0.549
1721,17.285,78.3,547.0,0.443
1729,17.285,78.34,536.0,0.388
1737,17.285,78.38,556.0,0.802
1745,17.285,78.42,566.0,0.592
1753,17.285,78.46,563.0,0.181
1761,17.285,78.5,553.0,0.775
1769,17.285,78.54,548.0,0.445
1777,17.285,78.58,522.0,0.098
1785,17.285,78.62,519.0,0.257
1793,17.285,78.66,497.0,0.647
1801,17.29,78.2,601.0,0.213
1809,17.29,78.24,593.0,0.375
1817,17.29,78.28,559.0,0.496
1825,17.29,78.32,541.0,0.41
1833,17.29,78.36,544.0,0.332
1841,17.29,78.4,583.0,0.462
1849,17.29,78.44,577.0,0.492
1857,17.29,78.48,570.0,0.59
1865,17.29,78.52,560.0,0.489
1873,17.29,78.56,537.0,0.44
1881,17.29,78.6,521.0,0.679
1889,17.29,78.64,504.0,0.421
1897,17.29,78.68,467.0,1.161
1905,17.295,78.22,605.0,0.571
1913,17.295,78.26,586.0,0.508
1921,17.295,78.3,554.0,0.421
1929,17.295,78.34,536.0,0.144
1937,17.295,78.38,547.0,0.695
1945,17.295,78.42,559.0,0.463
1953,17.295,78.46,570.0,0.451
1961,17.295,78.5,545.0,0.456
1969,17.295,78.54,552.0,0.486
1977,17.295,78.58,525.0,0.382
1985,17.295,78.62,511.0,0.538
1993,17.295,78.66,520.0,0.331
2001,17.3,78.2,605.0,0.458
2009,17.3,78.24,602.0,0.735
2017,17.3,78.28,561.0,0.418
2025,17.3,78.32,554.0,0.626
2033,17.3,78.36,533.0,0.369
2041,17.3,78.4,597.0,0.465
2049,17.3,78.44,565.0,0.311
2057,17.3,78.48,556.0,0.611
2065,17.3,78.52,537.0,0.875
2073,17.3,78.56,538.0,0.183
2081,17.3,78.6,509.0,0.403
2089,17.3,78.64,503.0,0.337
2097,17.3,78.68,491.0,0.465
2105,17.305,78.22,615.0,0.438
2113,17.305,78.26,589.0,0.781
2121,17.305,78.3,562.0,0.239
2129,17.305,78.34,533.0,0.371
2137,17.305,78.38,557.0,0.767
2145,17.305,78.42,551.0,0.298
2153,17.305,78.46,546.0,0.968
2161,17.305,78.5,537.0,0.33
2169,17.305,78.54,530.0,0.676
2177,17.305,78.58,531.0,0.388
2185,17.305,78.62,499.0,0.217
2193,17.305,78.66,496.0,0.864
2201,17.31,78.2,618.0,0.335
2209,17.31,78.24,619.0,0.32
2217,17.31,78.28,564.0,0.594
2225,17.31,78.32,562.0,0.382
2233,17.31,78.36,533.0,0.303
2241,17.31,78.4,565.0,1.728
2249,17.31,78.44,565.0,0.513
2257,17.31,78.48,548.0,0.413
2265,17.31,78.52,526.0,0.555
2273,17.31,78.56,539.0,0.104
2281,17.31,78.6,511.0,0.358
2289,17.31,78.64,491.0,0.229
2297,17.31,78.68,464.0,0.806
2305,17.315,78.22,622.0,0.382
2313,17.315,78.26,603.0,0.529
2321,17.315,78.3,563.0,0.245
2329,17.315,78.34,542.0,0.317
2337,17.315,78.38,563.0,0.747
2345,17.315,78.42,551.0,0.133
2353,17.315,78.46,533.0,0.219
2361,17.315,78.5,538.0,0.314
2369,17.315,78.54,526.0,0.305
2377,17.315,78.58,527.0,0.491
2385,17.315,78.62,506.0,0.217
2393,17.315,78.66,488.0,0.706
2401,17.32,78.2,618.0,0.413
2409,17.32,78.24,598.0,0.881
2417,17.32,78.28,576.0,0.399
2425,17.32,78.32,547.0,0.361
2433,17.32,78.36,533.0,0.081
2441,17.32,78.4,530.0,1.159
2449,17.32,78.44,546.0,0.88
2457,17.32,78.48,540.0,0.748
2465,17.32,78.52,516.0,0.644
2473,17.32,78.56,542.0,0.181
2481,17.32,78.6,508.0,0.288
2489,17.32,78.64,496.0,0.08
2497,17.32,78.68,480.0,0.978
2505,17.325,78.22,629.0,0.409
2513,17.325,78.26,585.0,0.529
2521,17.325,78.3,567.0,0.268
2529,17.325,78.34,538.0,0.268
2537,17.325,78.38,529.0,1.009
2545,17.325,78.42,548.0,0.498
2553,17.325,78.46,552.0,0.217
2561,17.325,78.5,539.0,0.281
2569,17.325,78.54,524.0,0.559
2577,17.325,78.58,521.0,0.361
2585,17.325,78.62,500.0,0.293
2593,17.325,78.66,521.0,0.112
2601,17.33,78.2,604.0,0.525
2609,17.33,78.24,589.0,0.463
2617,17.33,78.28,567.0,0.371
2625,17.33,78.32,557.0,0.367
2633,17.33,78.36,533.0,0.254
2641,17.33,78.4,520.0,0.43
2649,17.33,78.44,531.0,0.648
2657,17.33,78.48,519.0,0.527
2665,17.33,78.52,502.0,0.361
2673,17.33,78.56,532.0,0.703
2681,17.33,78.6,513.0,0.371
2689,17.33,78.64,488.0,0.152
2697,17.33,78.68,492.0,0.418
2705,17.335,78.22,609.0,0.767
2713,17.335,78.26,586.0,0.435
2721,17.335,78.3,561.0,0.32
2729,17.335,78.34,545.0,0.373
2737,17.335,78.38,524.0,0.281
2745,17.335,78.42,533.0,0.305
2753,17.335,78.46,540.0,0.931
2761,17.335,78.5,536.0,0.505
2769,17.335,78.54,510.0,0.645
2777,17.335,78.58,529.0,0.239
2785,17.335,78.62,500.0,0.354
2793,17.335,78.66,491.0,1.085
2801,17.34,78.2,605.0,0.309
2809,17.34,78.24,594.0,0.331
2817,17.34,78.28,567.0,0.483
2825,17.34,78.32,555.0,0.349
2833,17.34,78.36,539.0,0.52
2841,17.34,78.4,515.0,0.276
2849,17.34,78.44,521.0,0.569
2857,17.34,78.48,520.0,0.052
2865,17.34,78.52,507.0,0.359
2873,17.34,78.56,515.0,0.832
2881,17.34,78.6,502.0,0.488
2889,17.34,78.64,491.0,0.337
2897,17.34,78.68,473.0,0.79
2905,17.345,78.22,600.0,0.296
2913,17.345,78.26,574.0,0.638
2921,17.345,78.3,556.0,0.182
2929,17.345,78.34,548.0,0.341
2937,17.345,78.38,534.0,0.449
2945,17.345,78.42,559.0,0.258
2953,17.345,78.46,516.0,0.773
2961,17.345,78.5,521.0,0.637
2969,17.345,78.54,501.0,0.323
2977,17.345,78.58,517.0,0.446
2985,17.345,78.62,490.0,0.318
2993,17.345,78.66,479.0,0.482
3001,17.35,78.2,592.0,0.895
3009,17.35,78.24,590.0,0.791
3017,17.35,78.28,552.0,0.459
3025,17.35,78.32,545.0,0.065
3033,17.35,78.36,551.0,0.396
3041,17.35,78.4,514.0,0.126
3049,17.35,78.44,511.0,0.54
3057,17.35,78.48,517.0,0.188
3065,17.35,78.52,495.0,0.389
3073,17.35,78.56,501.0,0.505
3081,17.35,78.6,501.0,0.408
3089,17.35,78.64,476.0,0.21
3097,17.35,78.68,464.0,0.512
3105,17.355,78.22,598.0,0.542
3113,17.355,78.26,568.0,0.446
3121,17.355,78.3,556.0,0.387
3129,17.355,78.34,558.0,0.13
3137,17.355,78.38,531.0,0.472
3145,17.355,78.42,523.0,1.239
3153,17.355,78.46,510.0,0.421
3161,17.355,78.5,513.0,0.275
3169,17.355,78.54,498.0,0.14
3177,17.355,78.58,512.0,0.644
3185,17.355,78.62,492.0,0.221
3193,17.355,78.66,474.0,0.294
3201,17.36,78.2,571.0,0.698
3209,17.36,78.24,567.0,0.878
3217,17.36,78.28,551.0,0.257
3225,17.36,78.32,553.0,0.14
3233,17.36,78.36,550.0,0.691
3241,17.36,78.4,517.0,0.332
3249,17.36,78.44,506.0,0.515
3257,17.36,78.48,513.0,0.438
3265,17.36,78.52,495.0,0.276
3273,17.36,78.56,497.0,0.519
3281,17.36,78.6,492.0,0.159
3289,17.36,78.64,488.0,0.373
3297,17.36,78.68,458.0,0.599
3305,17.365,78.22,579.0,0.883
3313,17.365,78.26,564.0,0.308
3321,17.365,78.3,541.0,0.396
3329,17.365,78.34,553.0,0.882
3337,17.365,78.38,534.0,0.559
3345,17.365,78.42,511.0,0.3
3353,17.365,78.46,500.0,0.133
3361,17.365,78.5,519.0,0.5
3369,17.365,78.54,496.0,0.288
3377,17.365,78.58,492.0,0.878
3385,17.365,78.62,494.0,0.393
3393,17.365,78.66,476.0,0.579
3401,17.37,78.2,572.0,0.104
3409,17.37,78.24,558.0,0.275
3417,17.37,78.28,556.0,0.368
3425,17.37,78.32,541.0,0.516
3433,17.37,78.36,527.0,1.046
3441,17.37,78.4,504.0,0.352
3449,17.37,78.44,492.0,0.378
3457,17.37,78.48,501.0,0.389
3465,17.37,78.52,491.0,0.373
3473,17.37,78.56,481.0,0.573
3481,17.37,78.6,497.0,0.592
3489,17.37,78.64,465.0,0.777
3497,17.37,78.68,449.0,0.457
3505,17.375,78.22,564.0,0.726
3513,17.375,78.26,557.0,0.53
3521,17.375,78.3,541.0,0.155
3529,17.375,78.34,524.0,0.811
3537,17.375,78.38,515.0,0.058
3545,17.375,78.42,513.0,0.229
3553,17.375,78.46,507.0,0.2
3561,17.375,78.5,495.0,0.916
3569,17.375,78.54,487.0,0.604
3577,17.375,78.58,478.0,0.519
3585,17.375,78.62,480.0,1.091
3593,17.375,78.66,455.0,0.462
3601,17.38,78.2,575.0,0.47
3609,17.38,78.24,558.0,0.127
3617,17.38,78.28,541.0,0.407
3625,17.38,78.32,533.0,0.409
3633,17.38,78.36,510.0,0.232
3641,17.38,78.4,529.0,0.805
3649,17.38,78.44,520.0,0.985
3657,17.38,78.48,498.0,0.313
3665,17.38,78.52,483.0,0.15
3673,17.38,78.56,475.0,0.123
3681,17.38,78.6,469.0,0.78
3689,17.38,78.64,460.0,0.15
3697,17.38,78.68,454.0,0.096
3705,17.385,78.22,552.0,0.436
3713,17.385,78.26,544.0,0.312
3721,17.385,78.3,541.0,0.209
3729,17.385,78.34,523.0,0.361
3737,17.385,78.38,532.0,0.332
3745,17.385,78.42,518.0,0.574
3753,17.385,78.46,507.0,0.525
3761,17.385,78.5,484.0,0.24
3769,17.385,78.54,473.0,0.185
3777,17.385,78.58,472.0,0.256
3785,17.385,78.62,453.0,0.075
3793,17.385,78.66,459.0,0.173
3801,17.39,78.2,568.0,0.68
3809,17.39,78.24,555.0,0.264
3817,17.39,78.28,541.0,0.643
3825,17.39,78.32,554.0,1.155
3833,17.39,78.36,536.0,0.798
3841,17.39,78.4,535.0,0.311
3849,17.39,78.44,530.0,0.511
3857,17.39,78.48,509.0,0.449
3865,17.39,78.52,494.0,0.699
3873,17.39,78.56,477.0,0.343
3881,17.39,78.6,467.0,0.102
3889,17.39,78.64,468.0,0.433
3897,17.39,78.68,451.0,0.356
3905,17.395,78.22,549.0,0.271
3913,17.395,78.26,548.0,0.208
3921,17.395,78.3,549.0,0.442
3929,17.395,78.34,533.0,1.14
3937,17.395,78.38,527.0,0.103
3945,17.395,78.42,535.0,0.645
3953,17.395,78.46,524.0,0.851
3961,17.395,78.5,490.0,0.394
3969,17.395,78.54,490.0,0.793
3977,17.395,78.58,469.0,0.212
3985,17.395,78.62,478.0,1.004
3993,17.395,78.66,452.0,0.351
4001,17.4,78.2,556.0,0.31
4009,17.4,78.24,548.0,0.085
4017,17.4,78.28,566.0,0.773
4025,17.4,78.32,577.0,0.213
4033,17.4,78.36,541.0,0.409
4041,17.4,78.4,541.0,0.399
4049,17.4,78.44,539.0,1.471
4057,17.4,78.48,507.0,0.492
4065,17.4,78.52,510.0,0.592
4073,17.4,78.56,487.0,0.438
4081,17.4,78.6,472.0,0.663
4089,17.4,78.64,476.0,0.399
4097,17.4,78.68,441.0,0.442
4105,17.405,78.22,561.0,0.622
4113,17.405,78.26,552.0,0.809
4121,17.405,78.3,557.0,0.323
4129,17.405,78.34,565.0,0.903
4137,17.405,78.38,536.0,1.338
4145,17.405,78.42,543.0,1.384
4153,17.405,78.46,537.0,0.722
4161,17.405,78.5,499.0,0.723
4169,17.405,78.54,502.0,0.619
4177,17.405,78.58,477.0,0.674
4185,17.405,78.62,492.0,0.481
4193,17.405,78.66,459.0,0.411
4201,17.41,78.2,556.0,0.297
4209,17.41,78.24,553.0,0.413
4217,17.41,78.28,571.0,0.197
4225,17.41,78.32,546.0,0.473
4233,17.41,78.36,549.0,0.679
4241,17.41,78.4,550.0,2.292
4249,17.41,78.44,587.0,1.392
4257,17.41,78.48,512.0,0.34
4265,17.41,78.52,517.0,0.158
4273,17.41,78.56,489.0,0.355
4281,17.41,78.6,492.0,0.754
4289,17.41,78.64,469.0,0.568
4297,17.41,78.68,443.0,0.615
4305,17.415,78.22,573.0,0.285
4313,17.415,78.26,578.0,0.944
4321,17.415,78.3,561.0,0.319
4329,17.415,78.34,567.0,0.219
4337,17.415,78.38,579.0,1.455
4345,17.415,78.42,588.0,1.492
4353,17.415,78.46,525.0,1.07
4361,17.415,78.5,518.0,0.646
4369,17.415,78.54,510.0,0.608
4377,17.415,78.58,495.0,0.774
4385,17.415,78.62,496.0,0.388
4393,17.415,78.66,452.0,0.281
4401,17.42,78.2,556.0,0.471
4409,17.42,78.24,564.0,0.76
4417,17.42,78.28,573.0,0.305
4425,17.42,78.32,559.0,1.085
4433,17.42,78.36,567.0,1.048
4441,17.42,78.4,630.0,1.089
4449,17.42,78.44,590.0,1.411
4457,17.42,78.48,513.0,0.06
4465,17.42,78.52,516.0,0.621
4473,17.42,78.56,496.0,0.553
4481,17.42,78.6,501.0,0.401
4489,17.42,78.64,467.0,0.583
4497,17.42,78.68,461.0,0.774
4505,17.425,78.22,572.0,0.407
4513,17.425,78.26,588.0,0.207
4521,17.425,78.3,564.0,0.335
4529,17.425,78.34,573.0,1.031
4537,17.425,78.38,590.0,0.49
4545,17.425,78.42,601.0,0.885
4553,17.425,78.46,525.0,0.753
4561,17.425,78.5,524.0,0.439
4569,17.425,78.54,522.0,0.541
4577,17.425,78.58,507.0,0.721
4585,17.425,78.62,490.0,1.029
4593,17.425,78.66,466.0,0.526
4601,17.43,78.2,562.0,0.61
4609,17.43,78.24,582.0,0.349
4617,17.43,78.28,576.0,0.302
4625,17.43,78.32,588.0,0.92
4633,17.43,78.36,589.0,0.669
4641,17.43,78.4,592.0,1.367
4649,17.43,78.44,546.0,1.39
4657,17.43,78.48,513.0,0.206
4665,17.43,78.52,541.0,0.877
4673,17.43,78.56,509.0,0.731
4681,17.43,78.6,507.0,0.363
4689,17.43,78.64,483.0,0.691
4697,17.43,78.68,473.0,0.652
4705,17.435,78.22,587.0,0.333
4713,17.435,78.26,586.0,0.305
4721,17.435,78.3,574.0,0.368
4729,17.435,78.34,607.0,0.643
4737,17.435,78.38,587.0,0.396
4745,17.435,78.42,562.0,0.723
4753,17.435,78.46,530.0,0.378
4761,17.435,78.5,533.0,0.527
4769,17.435,78.54,526.0,0.391
4777,17.435,78.58,523.0,0.393
4785,17.435,78.62,533.0,0.839
4793,17.435,78.66,472.0,0.645
4801,17.44,78.2,571.0,0.68
4809,17.44,78.24,577.0,0.594
4817,17.44,78.28,566.0,0.499
4825,17.44,78.32,593.0,0.414
4833,17.44,78.36,593.0,0.636
4841,17.44,78.4,577.0,0.807
4849,17.44,78.44,544.0,0.593
4857,17.44,78.48,521.0,0.253
4865,17.44,78.52,550.0,1.449
4873,17.44,78.56,524.0,0.824
4881,17.44,78.6,515.0,0.542
4889,17.44,78.64,482.0,0.663
4897,17.44,78.68,486.0,0.177
4905,17.445,78.22,583.0,0.53
4913,17.445,78.26,577.0,0.471
4921,17.445,78.3,574.0,0.435
4929,17.445,78.34,598.0,0.202
4937,17.445,78.38,575.0,0.502
4945,17.445,78.42,582.0,0.359
4953,17.445,78.46,526.0,0.352
4961,17.445,78.5,538.0,0.738
4969,17.445,78.54,522.0,0.568
4977,17.445,78.58,522.0,0.297
4985,17.445,78.62,519.0,0.765
4993,17.445,78.66,491.0,0.319
5001,17.45,78.2,584.0,0.244
5009,17.45,78.24,559.0,0.593
5017,17.45,78.28,557.0,0.312
5025,17.45,78.32,582.0,0.604
5033,17.45,78.36,611.0,0.378
5041,17.45,78.4,561.0,0.424
5049,17.45,78.44,546.0,0.515
5057,17.45,78.48,522.0,0.261
5065,17.45,78.52,597.0,0.358
5073,17.45,78.56,541.0,0.746
5081,17.45,78.6,528.0,0.295
5089,17.45,78.64,494.0,0.526
5097,17.45,78.68,478.0,0.287
5105,17.455,78.22,567.0,0.539
5113,17.455,78.26,568.0,0.412
5121,17.455,78.3,564.0,0.47
5129,17.455,78.34,609.0,0.465
5137,17.455,78.38,578.0,0.594
5145,17.455,78.42,556.0,0.873
5153,17.455,78.46,536.0,0.471
5161,17.455,78.5,542.0,0.933
5169,17.455,78.54,531.0,0.696
5177,17.455,78.58,533.0,0.846
5185,17.455,78.62,509.0,0.639
5193,17.455,78.66,484.0,0.265
5201,17.46,78.2,570.0,0.652
5209,17.46,78.24,554.0,0.309
5217,17.46,78.28,554.0,0.182
5225,17.46,78.32,578.0,0.545
5233,17.46,78.36,597.0,0.393
5241,17.46,78.4,561.0,0.372
5249,17.46,78.44,546.0,0.215
5257,17.46,78.48,530.0,0.401
5265,17.46,78.52,562.0,0.922
5273,17.46,78.56,553.0,0.369
5281,17.46,78.6,524.0,0.535
5289,17.46,78.64,497.0,0.299
5297,17.46,78.68,481.0,0.473
5305,17.465,78.22,565.0,0.384
5313,17.465,78.26,561.0,0.515
5321,17.465,78.3,561.0,0.304
5329,17.465,78.34,585.0,0.882
5337,17.465,78.38,580.0,0.489
5345,17.465,78.42,549.0,0.363
5353,17.465,78.46,541.0,0.32
5361,17.465,78.5,561.0,0.412
5369,17.465,78.54,543.0,0.576
5377,17.465,78.58,553.0,0.429
5385,17.465,78.62,500.0,0.439
5393,17.465,78.66,485.0,0.287
5401,17.47,78.2,559.0,0.412
5409,17.47,78.24,547.0,0.341
5417,17.47,78.28,550.0,0.164
5425,17.47,78.32,571.0,0.442
5433,17.47,78.36,599.0,0.264
5441,17.47,78.4,565.0,0.391
5449,17.47,78.44,542.0,0.236
5457,17.47,78.48,536.0,0.582
5465,17.47,78.52,562.0,0.131
5473,17.47,78.56,555.0,0.18
5481,17.47,78.6,533.0,0.568
5489,17.47,78.64,499.0,0.288
5497,17.47,78.68,496.0,0.817
5505,17.475,78.22,554.0,0.286
5513,17.475,78.26,548.0,0.484
5521,17.475,78.3,563.0,0.177
5529,17.475,78.34,577.0,0.429
5537,17.475,78.38,573.0,0.443
5545,17.475,78.42,546.0,0.21
5553,17.475,78.46,547.0,0.215
5561,17.475,78.5,547.0,0.373
5569,17.475,78.54,553.0,0.497
5577,17.475,78.58,543.0,0.732
5585,17.475,78.62,515.0,0.659
5593,17.475,78.66,494.0,0.529
5601,17.48,78.2,554.0,0.259
5609,17.48,78.24,541.0,0.201
5617,17.48,78.28,559.0,0.251
5625,17.48,78.32,564.0,0.427
5633,17.48,78.36,587.0,0.517
5641,17.48,78.4,561.0,0.52
5649,17.48,78.44,555.0,0.669
5657,17.48,78.48,552.0,0.489
5665,17.48,78.52,566.0,0.192
5673,17.48,78.56,560.0,0.4
5681,17.48,78.6,518.0,0.276
5689,17.48,78.64,491.0,0.248
5697,17.48,78.68,512.0,0.842
5705,17.485,78.22,556.0,0.271
5713,17.485,78.26,543.0,0.3
5721,17.485,78.3,562.0,0.164
5729,17.485,78.34,575.0,0.456
5737,17.485,78.38,587.0,0.77
5745,17.485,78.42,552.0,0.374
5753,17.485,78.46,549.0,0.149
5761,17.485,78.5,551.0,0.295
5769,17.485,78.54,562.0,0.254
5777,17.485,78.58,530.0,0.463
5785,17.485,78.62,520.0,0.379
5793,17.485,78.66,505.0,0.536
5801,17.49,78.2,549.0,0.048
5809,17.49,78.24,541.0,0.205
5817,17.49,78.28,546.0,0.334
5825,17.49,78.32,556.0,0.382
5833,17.49,78.36,579.0,0.409
5841,17.49,78.4,577.0,0.591
5849,17.49,78.44,568.0,0.081
5857,17.49,78.48,555.0,0.466
5865,17.49,78.52,568.0,0.323
5873,17.49,78.56,544.0,0.392
5881,17.49,78.6,529.0,0.352
5889,17.49,78.64,501.0,0.551
5897,17.49,78.68,526.0,1.138
5905,17.495,78.22,545.0,0.548
5913,17.495,78.26,538.0,0.209
5921,17.495,78.3,558.0,0.29
